A,B,label
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,1
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","That is, complex creatures evolve from more simplistic ancestors naturally over time",1
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",1
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",1
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",1
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",1
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",1
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",1
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","That is, complex creatures evolve from more simplistic ancestors naturally over time",1
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",1
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",1
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","That is, complex creatures evolve from more simplistic ancestors naturally over time",1
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",1
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"That is, complex creatures evolve from more simplistic ancestors naturally over time","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",1
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",1
"That is, complex creatures evolve from more simplistic ancestors naturally over time","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",1
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",1
"Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""","Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","The Lion King is scheduled to be released on July 19, 2019, which marks the 25th anniversary of the release of the original film",0
"That is, complex creatures evolve from more simplistic ancestors naturally over time","Simba has to make an alliance, and rebuild himself fully to take what is rightfully his.
",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps",0
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"That is, complex creatures evolve from more simplistic ancestors naturally over time",0
"In the movie Simba, the son of Mufasa and the Prince of the Pride Lands, hopes to follow in his father's footsteps","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",0
"Mufasa's brother, Scar, plots to betray Mufasa and take over the Pride Lands, forcing Simba into exile, where he meets Timon and Pumbaa","Darwin's Theory of Evolution is the widely held notion that all life is related and has descended from a common ancestor, the birds and the bananas, the fishes and the flowers are all related",0
"In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation","In a nutshell, as random genetic mutations occur within an organism's genetic code, the beneficial mutations are preserved because they aid survival, a process known as ""natural selection."" These beneficial mutations are passed on to the next generation",1
The Lion King is an upcoming American musical drama film directed by Jon Favreau and produced by Walt Disney Pictures,"Darwin's general theory presumes the development of life from nonlife and stresses a purely naturalistic (undirected) ""descent with modification""",0
